파일명	전체 pptx
패스트캠퍼스_교육제안서_하나은행_임원 대상 생성형 AI 과정_251016.txt	https://drive.google.com/file/d/1XFJ2_6BwX0N8NwVfGXpb8gZ1UloRGL5R/view
패스트캠퍼스_SK마이써니_LLM 과정 커리큘럼_240919_VF.txt	https://drive.google.com/file/d/1wTplKekQdsgbEhhevx2la90bB8XyLr81/view
패스트캠퍼스_교육제안서_KB증권_코파일럿을 활용한 업무자동화 과정_250203.txt	https://drive.google.com/file/d/1TDLfQjGoXcirMn2xcC_gJQnaZ8CFc2D2/view
패스트캠퍼스_교육제안서_HD현대중공업_MS코파일럿, PowerBI 과정.txt	https://drive.google.com/file/d/1buUVDLtPxu50i-zLHxjPOVhpewZ0ncep/view
패스트캠퍼스_신한라이프_Expert 과정 커리큘럼.txt	https://drive.google.com/file/d/1u3UZC2iqSk3X7w1uaypgm4byBrzX4w9s/view
패스트캠퍼스_교육제안서_GC_업무 효율화를 위한 생성형 AI 과정_240614.txt	https://drive.google.com/file/d/1lqiia-IVIk5l5w-ylH1PgPMFijStL1WT/view
패스트캠퍼스_교육제안서_우리금융지주_AI Agent 연수_250711.txt	https://drive.google.com/file/d/1Ku2SlZ_lBTEAihbcK7NOhV5Uf1eiuMZ4/view
패스트캠퍼스_교육제안서_롯데면세점_생성형 AI 기반 마케팅 실무 역량 강화.txt	https://drive.google.com/file/d/1SdWi-hIs_3fhklvrnxeTDzaOteC-3NOq/view
패스트캠퍼스_교육 제안서_mySUNI_2026 AI 경영자과정_251013(VF).txt	https://drive.google.com/file/d/1VON7YX8E1Chs4-dAZgaHtsNjL6VecglI/view
패스트캠퍼스_교육제안서_삼성생명_IT아카데미 과정 제안서.txt	https://drive.google.com/file/d/1LAoK0iNFazCWOjG0mULRrBMUOvH0QbjO/view
패스트캠퍼스_교육제안서_CJ ENM_생성형 AI 콘텐츠 제작 과정_2510.txt	https://drive.google.com/file/d/1IfNCt0cjrajsA8lLtPEfu1HYidFtkUYb/view
